UserId;Funds available
1104134@test.com;" $187,500.00 "
1104143@test.com;" $500,000.00 "
1104154@test.com;" $185,000.00 "
1104152@test.com;" $1,500,000.00 "
1104136@test.com;" $860,000.00 "
1104138@test.com;" $300,000.00 "
1104139@test.com;" $250,000.00 "
1104140@test.com;" $74,000.00 "
1104141@test.com;" $285,000.00 "
1104159@test.com;" $532,000.00 "
1104161@test.com;" $292,000.00 "
1104145@test.com;" $752,000.00 "
1104133@test.com;" $418,000.00 "
1104149@test.com;" $47,000.00 "
1104151@test.com;" $283,000.00 "
1104131@test.com;" $598,000.00 "
1104155@test.com;" $639,000.00 "
1104156@test.com;" $274,000.00 "
1104157@test.com;" $629,000.00 "
1104158@test.com;" $562,000.00 "
